Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Evil Wreckoning,2021,Evil,Wreckoning,3900,USD,Excellent - Lightly Ridden,XL,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3891015/
2020 Kona Process 153 Custom Build,2020,Kona,Process 153,2200,USD,"Good - Used, Mechanically Sound",L,29,160 mm,153 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3895574/
2023 Rocky Mountain Altitude C90 Rally,2023,Rocky Mountain,Altitude,4500,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3896775/
2024 Transition Spire AXS T-Type Fox Factory Reserve Wheels,2024,Transition,Spire,5300,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3885621/
2018 Commencal meta am 4.2 World Cup edition,2018,Commencal,Meta AM,2150,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3896533/
2022 Transition Spire Custom Build EXT/Fox + Angleset,2022,Transition,Spire,4301,CAD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3897063/
"2021 Knolly Warden 168. Weareone wheels, i9 hubs, zeb, X01",2021,Knolly,Warden,2500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3869156/
2024 Yeti SB160 T3 + upgrades,2024,Yeti,SB160,5832,CAD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3895348/
2016 Devinci Spartan Carbon SX Custom Build,2016,Devinci,Spartan,1422,CAD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3893327/
2016 Santa Cruz Bronson,2016,Santa Cruz,Bronson,1700,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,150 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3883445/
2021 Transition Sentinel Custom,2021,Transition,Sentinel,7000,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3895934/
2020 Knolly Warden CARBON very rare,2020,Knolly,Warden,3999,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3890015/
2020 Knolly Fugitive LT full custom build UPDATED,2020,Knolly,Fugitive,2999,USD,Excellent - Lightly Ridden,XL,29,160 mm,135 mm,Aluminium,,https://www.pinkbike.com/buysell/3669346/
2019 Ibis Mojo HD size large,2019,Ibis,Mojo,3000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,153 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3847684/
2021 WAO Arrival XL 150mm,2021,WAO,Arrival,6197,CAD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3897502/
2021 Evil Wreckoning LS,2021,Evil,Wreckoning,3240,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3892056/
2022 NEW: Ibis Ripmo v2 Carbon SLX kit XL,2022,Ibis,Ripmo,3300,USD,New - Unridden/With Tags,XL,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3891026/
2023 Norco Sight C2 Custom build,2023,Norco,Sight,2999,USD,Excellent - Lightly Ridden,XL,29,170 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3869574/
2015 Santa Cruz Bronson v1,2015,Santa Cruz,Bronson,1600,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3415666/
2024 Yeti SB160 T2 XO build,2024,Yeti,SB160,5800,USD,Excellent - Lightly Ridden,XL,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3895239/
2018 Aluminum Knolly Warden,2018,Knolly,Warden,1823,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,160 mm,153 mm,Aluminium,,https://www.pinkbike.com/buysell/3659472/
2019 Santa Cruz Bronson X01 RSV,2019,Santa Cruz,Bronson,3000,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3892347/
2022 Giant Reign Advanced Pro 29 1(BRAND NEW),2022,Giant,Reign,3463,CAD,New - Unridden/With Tags,L,29,170 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3850915/
2023 RSD RS 291 in XL,2023,RSD,RS 291,1312,CAD,Excellent - Lightly Ridden,XL,29,160 mm,0 mm (Hardtail),Chromoly,,https://www.pinkbike.com/buysell/3858974/
2022 Yeti SB165 Large with new Fox 40 & Fox 38,2022,Yeti,SB165,5500,USD,Excellent - Lightly Ridden,L,27.5 / 650B,190 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3896175/
2024 Deviate claymore large,2024,Deviate,Claymore,8000,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3895149/
2024 Trek Slash 9.8 GX T-type Gen 6 Large,2024,Trek,Slash,4800,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3891637/
2021 Banshee Rune Mullet (Medium),2021,Banshee,Rune,2369,CAD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3895157/
2023 Norco Range C1 large **UPDATED AD**,2023,Norco,Range,3899,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3860835/
2024 Santa Cruz Megatower,2024,Santa Cruz,Megatower,4499,USD,New - Unridden/With Tags,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843051/
2024 Yeti SB165 T3 XO Transmission Size Large Brand New,2024,Yeti,SB165,6400,USD,New - Unridden/With Tags,L,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3863540/
2022 We Are One Arrival 170 Size 3 (XL) SP1 Build EXT Coil,2022,We Are One,Arrival,4921,CAD,"Good - Used, Mechanically Sound",XL,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3897048/
2023 Transition Spire Carbon Large,2023,Transition,Spire,2950,USD,Excellent - Lightly Ridden,L,29,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3897023/
2022 Norco Range C3,2022,Norco,Range,2551,CAD,"Good - Used, Mechanically Sound",M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3881051/
2023 Cannondale Jekyll  (Lots of Upgrades),2023,Cannondale,Jekyll,3650,USD,Excellent - Lightly Ridden,XL,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3859455/
2023 Deviate Highlander 150 Brand New Custom XTR Build,2023,Deviate,Highlander,3499,CAD,New - Unridden/With Tags,XL,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3684630/
