Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2023 Yeti SB120 T-Series Custom (L),2023,Yeti,SB120,7900,USD,Excellent - Lightly Ridden,L,29,140 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3894487/
2024 Santa Cruz Tallboy,2024,Santa Cruz,Tallboy,4099,USD,New - Unridden/With Tags,L,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843045/
2024 Santa Cruz Bronson,2024,Santa Cruz,Bronson,3999,USD,New - Unridden/With Tags,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843047/
2024 Santa Cruz Hightower,2024,Santa Cruz,Hightower,3849,USD,New - Unridden/With Tags,XL,29,150 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843048/
2024 Santa Cruz Heckler SL,2024,Santa Cruz,Heckler,6799,USD,New - Unridden/With Tags,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843052/
2023 Trek Fuel EX 9.8 AXS Gen-6 size MD,2023,Trek,Fuel EX,3850,USD,New - Unridden/With Tags,M,29,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3896311/
2023 Trek Fuel EX 7 size ML Blue Aloy,2023,Trek,Fuel EX,2200,USD,New - Unridden/With Tags,L,29,150 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3896316/
2023 Trek Top Fuel 8 XT size MD Aloy,2023,Trek,Top Fuel,2600,USD,New - Unridden/With Tags,M,29,120 mm,120 mm,Aluminium,,https://www.pinkbike.com/buysell/3896319/
2023 YT Izzo Uncaged 11 - Medium MAKE ME AN OFFER!,2023,YT,Izzo,4050,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3891778/
2023 Pivot Switchblade,2023,Pivot,Switchblade,3999,USD,Excellent - Lightly Ridden,M,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3896701/
2023 Norco Optic XL,2023,Norco,Optic,2800,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3885138/
