Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2022 Commencal Clash Dream Build,2022,Commencal,Clash,4500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,180 mm,190 mm,Aluminium,,https://www.pinkbike.com/buysell/3891905/
2020 Knolly Warden Carbon custom build UPDATED,2020,Knolly,Warden,3999,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3890015/
2024 Pivot Firebird Ride SLX/XT - Size Small,2024,Pivot,Firebird,5000,USD,Excellent - Lightly Ridden,S,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3912813/
2024 Santa Cruz Heckler SL Large,2024,Santa Cruz,Heckler,5600,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922467/
2018 Specialized Stumpjumper Carbon Comp,2018,Specialized,Stumpjumper,1100,USD,"Good - Used, Mechanically Sound",L,29,150 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922382/
2024 Transition Spire SRAM XX SL Transmission,2024,Transition,Spire,6000,USD,Excellent - Lightly Ridden,L,29,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3918007/
2022 Trek Slash 9.8x XL,2022,Trek,Slash,2250,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922246/
2018 Rocky Mountain Altitude,2018,Rocky Mountain,Altitude,1030,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3917616/
2023 Deviate Claymore Large Custom Build,2023,Deviate,Claymore,4048,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3921251/
2019 Knolly Warden Carbon,2019,Knolly,Warden,1400,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3886744/
2024 Revel Rail Medium,2024,Revel,Rail,3600,USD,Excellent - Lightly Ridden,M,29,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3916580/
2022 Ibis Ripmo v2 LOTS OF UPGRADES,2022,Ibis,Ripmo,3312,CAD,Excellent - Lightly Ridden,XL,29,170 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3914860/
2018 Santa Cruz Nomad CC,2018,Santa Cruz,Nomad,3200,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3905505/
2024 Pivot Firebird (L)_Cosmic Brown Metallic,2024,Pivot,Firebird,8000,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922055/
2022 Forbidden Dreadnought,2022,Forbidden,Dreadnought,4500,USD,Excellent - Lightly Ridden,XL,29,170 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3672818/
2022 IBIS MOJO HD5,2022,Ibis,Mojo,2944,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3921970/
2024 Yeti SB165 C2 + Fox Factory Suspension (Large),2024,Yeti,SB165,4600,USD,Excellent - Lightly Ridden,L,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3918486/
