Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2025 Sworks enduro s4 NEED GONE,2025,NoManufacturer,NoModelFound,3600,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3877067/
2021 Commencal META Team 29 with Upgrades and Extras,2021,Commencal,NoModelFound,2450,USD,"Good - Used, Mechanically Sound",M,29,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3875123/
2023 Santa Cruz Bullit 3 X01 AXS RSV e-MTB Size M,2023,Santa Cruz,Bullit Electric,3700,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3897489/
2022 Sb 150 T1 XL,2022,NoManufacturer,NoModelFound,2950,USD,Excellent - Lightly Ridden,XL,29,170 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3885364/
2023 Dreadnought V1 Large,2023,NoManufacturer,NoModelFound,3500,USD,Excellent - Lightly Ridden,L,29,170 mm,155 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3879330/
2024 INTENSE Tracer 279 Pro,2024,Intense,Tracer,4374,CAD,New - Unridden/With Tags,M,,170 mm,170 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3856416/
2022 Reign 29 SX,2022,NoManufacturer,NoModelFound,3300,USD,New - Unridden/With Tags,XL,29,170 mm,145 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3890863/
2021 Reign Advanced Pro 29 1 M Rosewood,2021,NoManufacturer,NoModelFound,4000,USD,New - Unridden/With Tags,M,29,170 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3879752/
2022 Reign Advanced Pro 29 1,2022,NoManufacturer,NoModelFound,4500,USD,New - Unridden/With Tags,L,29,170 mm,145 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3891222/
2017 Specalized SWorks Enduro,2017,NoManufacturer,NoModelFound,2369,CAD,"Good - Used, Mechanically Sound",L,29,160 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3410546/
"2022 Ripmo V2 - EXT Storia, Cascade, Vorsprung",2022,NoManufacturer,NoModelFound,4500,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3888360/
2019 Commencal Meta,2019,Commencal,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3733526/
2023 Insurgent LS MX - Ridden twice! Basically brand new.,2023,NoManufacturer,NoModelFound,6000,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3874022/
2023 Santa Cruz Bronson M GX AXS Dark Matter,2023,Santa Cruz,Bronson,6999,USD,New - Unridden/With Tags,M,,160 mm,150 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3764518/
2024 Forbidden Druid V2 mullet,2024,Forbidden,Druid,4228,CAD,Excellent - Lightly Ridden,M,,160 mm,130 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3884885/
2016 Yeti SB6C X01  27.5,2016,Yeti,NoModelFound,2000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3794298/
