Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2023 Arrival 170,2023,NoManufacturer,NoModelFound,4410,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3925615/
2022 Trek Slash 9.8 XT Lithium Grey M/L,2022,Trek,Slash,3500,USD,Excellent - Lightly Ridden,,29,170 mm,160 mm,Carbon Fiber,frame size,https://www.pinkbike.com/buysell/3925483/
2019 Yeti SB6 Turq XT/XO build - End of Season Sale!!,2019,Yeti,NoModelFound,2830,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3855640/
2024 Giant Trance Elitie E (Large),2024,Giant,NoModelFound,4000,USD,Excellent - Lightly Ridden,L,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3920304/
2022 Rocky Mtn Altitude Carbon 70 (C70) - Medium,2022,NoManufacturer,NoModelFound,3674,CAD,New - Unridden/With Tags,M,29,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3358448/
2022 Reign 29 SX,2022,NoManufacturer,NoModelFound,3300,USD,New - Unridden/With Tags,S,29,170 mm,145 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3890860/
2022 Reign 29 SX,2022,NoManufacturer,NoModelFound,3300,USD,New - Unridden/With Tags,XL,29,170 mm,145 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3890863/
2022 Reign Advanced Pro 29 1,2022,NoManufacturer,NoModelFound,4200,USD,New - Unridden/With Tags,L,29,170 mm,145 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3891222/
2021 Reign Advanced Pro 29 1 M Rosewood,2021,NoManufacturer,NoModelFound,3800,USD,New - Unridden/With Tags,M,29,170 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3879752/
2022 Specialized Enduro Expert Mullet S3 - REDUCED PRICE,2022,Specialized,Enduro,2400,USD,"Good - Used, Mechanically Sound",M,,170 mm,170 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3921073/
2020 Hal Motobecane EBoost MTB Bike Shimano 8000,2020,Motobecane,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3917532/
2024 INTENSE Tracer 279 Pro,2024,Intense,Tracer,4043,CAD,New - Unridden/With Tags,M,,170 mm,170 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3856416/
2019 Ibis HD4 - Carbon Wheels/AXS/VORSPRUNG COIL,2019,Ibis,NoModelFound,2200,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,153 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3910073/
2022 Stumpjumper Evo S-works S3 Upgrades,2022,NoManufacturer,NoModelFound,3600,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3887457/
2021 Commencal META Team 29 with Upgrades and Extras,2021,Commencal,NoModelFound,2450,USD,"Good - Used, Mechanically Sound",M,29,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3875123/
2023 Stumpjumper EVO Sworks Custom Build,2023,NoManufacturer,NoModelFound,4950,USD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3882196/
2022 giant trance 27.5 S frame PRICE REDUCED,2022,Giant,NoModelFound,1000,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,150 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3809508/
2017 Specalized SWorks Enduro,2017,NoManufacturer,NoModelFound,2389,CAD,"Good - Used, Mechanically Sound",L,29,160 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3410546/
2024 Marin Alpine Trail 1 - Flip Chip & Headset Adjust,2024,Marin,NoModelFound,3199,USD,New - Unridden/With Tags,L,29,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3878495/
2020 XL Megatower C 170/160 coil custom,2020,NoManufacturer,NoModelFound,2940,CAD,Excellent - Lightly Ridden,XL,29,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3856869/
2021 Reign Advanced,2021,NoManufacturer,NoModelFound,2205,CAD,Excellent - Lightly Ridden,L,29,170 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3558126/
2023 Custom Transition Repeater EP8,2023,Transition,Repeater Electric,4000,USD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3908985/
2023 Guerilla Gravity Smash Size 4 Unridden,2023,NoManufacturer,NoModelFound,3000,USD,New - Unridden/With Tags,XL,29,150 mm,145 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3887774/
2022 Guerilla Gravity,2022,NoManufacturer,NoModelFound,2000,USD,Excellent - Lightly Ridden,M,29,150 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3854956/
2019 Specialized Stumpy 29”,2019,Specialized,NoModelFound,2950,USD,Excellent - Lightly Ridden,L,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3911333/
2023 Specialized Turbo Levo Comp Alloy,2023,Specialized,Turbo Levo Electric,2450,USD,Excellent - Lightly Ridden,S,29,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3920554/
2023 Super Clean Esker Elkat w/Carbon I-9’s,2023,NoManufacturer,NoModelFound,2900,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3921680/
2015 Devinci Dixon Carbon RXS Bike - Medium,2015,Devinci,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",M,26,160 mm,145 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3906179/
2022 Tradition spire xt price reduced,2022,NoManufacturer,NoModelFound,3250,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3591188/
Knolly Chilcotin 170 G6 Raw L | Ohlins | XX | I9,,Knolly,Chilcotin,6614,CAD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Aluminium,year,https://www.pinkbike.com/buysell/3898481/
2022 Specialized Stumpy Evo Mullet Carbon Fox Factory S5,2022,Specialized,NoModelFound,2950,USD,Excellent - Lightly Ridden,XL,29,160 mm,155 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3901520/
Evil Wreckoning CUSTOM *NEW + e-SHIFTING (M setup),,Evil,Wreckoning,4700,USD,New - Unridden/With Tags,,29,160 mm,155 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3545330/
Nukeproof Giga 297 *DREAM BUILD*,,Nukeproof,Giga,6500,USD,New - Unridden/With Tags,M,29,180 mm,170 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3880383/
2022 Specialized Kenevo SL Expert S4 AXS Upgrades,2022,Specialized,Kenevo Electric,4500,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3914559/
2018 Rocky Mtn Instinct BC Edition C90 Large,2018,NoManufacturer,NoModelFound,2132,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,155 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3906468/
2020 Scott Tuned Random,2020,Scott,NoModelFound,5000,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3883351/
2018 Specialized Turbo Levo Expert FSR Carbon Large,2018,Specialized,Turbo Levo Electric,1850,USD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3849457/
2023 Kona Process 134 DL,2023,Kona,NoModelFound,4000,USD,Excellent - Lightly Ridden,L,29,140 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3823749/
2019 NS Snabb 150 Plus 2,2019,NoManufacturer,NoModelFound,950,USD,"Good - Used, Mechanically Sound",M,29,160 mm,155 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3913625/
2022 Orbea Rallon XL XTR Carbon Everything,2022,Orbea,NoModelFound,4500,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3906483/
2020 kona satori,2020,Kona,NoModelFound,1323,CAD,Excellent - Lightly Ridden,S,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3586996/
2024 Specialized Turbo Levo Custom *NEED GONE*,2024,Specialized,Turbo Levo Electric,6500,USD,Excellent - Lightly Ridden,M,29,170 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3919249/
2021 XL Commensal META AM 29,2021,NoManufacturer,NoModelFound,1750,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3827634/
2021 Mondraker Foxy Bike,2021,Mondraker,NoModelFound,1500,USD,Excellent - Lightly Ridden,S,29,160 mm,200 mm,Aluminium,model,https://www.pinkbike.com/buysell/3851411/
2018 SantaCruz Hightower LT CC-XO1,2018,NoManufacturer,NoModelFound,2205,CAD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3705548/
