Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Stumpjumper Evo in mint,2021,NoManufacturer,NoModelFound,3000,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3925184/
2024 Revel Tirade Custom Build,2024,Revel,NoModelFound,5000,USD,Excellent - Lightly Ridden,L,29,140 mm,0 mm (Hardtail),Titanium,model,https://www.pinkbike.com/buysell/3894184/
2023 Yeti SB135 C2 Medium,2023,Yeti,NoModelFound,3750,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3742794/
2023 Yeti SB135 C2 Extra Small,2023,Yeti,NoModelFound,4000,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3914116/
2023 Yeti SB135 C2 Small,2023,Yeti,NoModelFound,3750,USD,Excellent - Lightly Ridden,S,27.5 / 650B,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3914110/
2024 sb120 turq size large carbon wheels,2024,NoManufacturer,NoModelFound,4300,USD,Excellent - Lightly Ridden,L,29,130 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3924959/
2019 Giant Trance Advanced 2 (CARBON RIMS),2019,Giant,NoModelFound,1850,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3916343/
Niner RIP 9 29 2-Star,,Niner,NoModelFound,2500,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Aluminium,year,https://www.pinkbike.com/buysell/3922216/
Niner JET 9 1-Star,,Niner,NoModelFound,1500,USD,Excellent - Lightly Ridden,M,29,130 mm,120 mm,Aluminium,year,https://www.pinkbike.com/buysell/3922180/
2023 BMC Fourstroke LT TWO,2023,NoManufacturer,NoModelFound,2899,USD,New - Unridden/With Tags,M,29,120 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3922604/
2017 Pivot Mach 429 Trail,2017,Pivot,NoModelFound,1472,CAD,Excellent - Lightly Ridden,S,29,120 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3919903/
2024 Norco Optic c2 size 3!,2024,Norco,Optic,5800,USD,Excellent - Lightly Ridden,,29,140 mm,130 mm,Carbon Fiber,frame size,https://www.pinkbike.com/buysell/3899264/
2023 GT Sensor ST Carbon Elite in multiple sizes,2023,GT,Sensor,2340,USD,New - Unridden/With Tags,,29,140 mm,120 mm,Carbon Fiber,frame size,https://www.pinkbike.com/buysell/3903236/
2022 Mondraker Raze R Carbon w/ mix new and used parts,2022,Mondraker,NoModelFound,3600,USD,Excellent - Lightly Ridden,L,29,150 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3751890/
2019 Ibis Ripley,2019,Ibis,Ripley,2000,USD,Excellent - Lightly Ridden,19,,,,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3877436/
2020 29er Full Carbon Mountain Bike - 25lbs!,2020,NoManufacturer,NoModelFound,3695,USD,New - Unridden/With Tags,M,29,140 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/2936638/
2023 29er DCB XCT29 Full Carbon Trail Hardtail - 22lbs!,2023,NoManufacturer,NoModelFound,2650,USD,New - Unridden/With Tags,L,29,130 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3064130/
2021 Trek ex 8 gen 5 - small,2021,Trek,NoModelFound,2000,USD,Excellent - Lightly Ridden,S,27.5 / 650B,140 mm,,Aluminium,model,https://www.pinkbike.com/buysell/3893835/
