Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Trek Procaliber XX1 AXS Custom build M/L,2021,Trek,NoModelFound,2500,USD,Excellent - Lightly Ridden,17.5,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3925226/
2024 Niner rkt rdo an swap wherls and reduce $,2024,Niner,NoModelFound,2700,USD,Excellent - Lightly Ridden,S,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3912294/
2021 Litespeed Unicoi Titanium Softail,2021,Litespeed,NoModelFound,4650,USD,Excellent - Lightly Ridden,L,29,130 mm,80 mm,Titanium,model,https://www.pinkbike.com/buysell/3895747/
2022 Trek fuel ex 7 gen 6 size m,2022,Trek,Fuel EX,1700,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3920255/
2024 Team Marin 1,2024,Ari,NoModelFound,999,USD,New - Unridden/With Tags,M,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3874138/
2024 Team Marin 1,2024,Ari,NoModelFound,999,USD,New - Unridden/With Tags,XL,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3874143/
2023 Carbon XC 27.5 Small Race Bike,2023,NoManufacturer,NoModelFound,1175,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,140 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3883255/
2024 Santa Cruz Highball CC XO AXS RSV XL Perfect,2024,Santa Cruz,NoModelFound,4900,USD,Excellent - Lightly Ridden,XL,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3911090/
2023 29er FULL Carbon XC MTB (21 lbs!) Custom colors!,2023,NoManufacturer,NoModelFound,2895,USD,New - Unridden/With Tags,19,29,100 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3515992/
2021 Canyon Lux CF 7.0 - fast and fun!,2021,Canyon,NoModelFound,2890,USD,Excellent - Lightly Ridden,L,29,120 mm,110 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3922148/
2021 Scalpel High Mod 1 team Replica Med Upgrades Galore,2021,NoManufacturer,NoModelFound,4600,USD,Excellent - Lightly Ridden,M,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3880428/
2019 Santa Cruz Cameleon - Carbon,2019,Santa Cruz,NoModelFound,2700,USD,Excellent - Lightly Ridden,S,29,120 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3850680/
2021 Scalpel Hi-MOD 1 Large XTR Team Replica,2021,NoManufacturer,NoModelFound,3900,USD,"Good - Used, Mechanically Sound",L,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3439705/
2024 Salsa Rangefinder Deore 12 29″: Medium,2024,Salsa,NoModelFound,1399,USD,New - Unridden/With Tags,M,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3489118/
2024 Salsa Rangefinder Deore 12 29″: Large,2024,Salsa,NoModelFound,1399,USD,New - Unridden/With Tags,L,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3489119/
2022 Yeti 115,2022,Yeti,NoModelFound,4200,USD,Excellent - Lightly Ridden,XL,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3916128/
2022 Pivot Mach 4sl  pro XT,2022,Pivot,NoModelFound,4000,USD,Excellent - Lightly Ridden,S,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3904894/
2015 Rocky Mountain 999sl rigid 15 pounds,2015,Rocky Mountain,NoModelFound,1104,CAD,Excellent - Lightly Ridden,S,29,0 mm (Rigid),0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3665764/
2024 Marin Team Marin 2,2024,Ari,NoModelFound,2125,USD,New - Unridden/With Tags,S,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3741597/
2024 Marin Team Marin 2,2024,Ari,NoModelFound,2125,USD,New - Unridden/With Tags,M,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3741605/
2017 Trek Superfly 6 XL,2017,Trek,NoModelFound,1104,CAD,"Good - Used, Mechanically Sound",XL,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3812079/
2019 S-works epic EVO,2019,NoManufacturer,NoModelFound,2800,USD,"Good - Used, Mechanically Sound",XL,29,120 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3858333/
2019 Yeti SB100 C Series,2019,Yeti,NoModelFound,3680,CAD,Excellent - Lightly Ridden,M,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3864994/
2021 Norco Relolver FS100 - Medium - XO1 AXS -  Price Cut,2021,Norco,NoModelFound,2750,USD,Excellent - Lightly Ridden,M,29,100 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3912830/
2019 Santacruz high ball c M size(27.5) Carbon,2019,NoManufacturer,NoModelFound,2600,USD,Excellent - Lightly Ridden,M,27.5 / 650B,100 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3846510/
2024 Salsa Rangefinder Deore 12 27.5+: Small,2024,Salsa,NoModelFound,1199,USD,New - Unridden/With Tags,S,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3489127/
2023 Trailcraft Cycles Timber 275 S / XS sized 25 pounds!,2023,NoManufacturer,NoModelFound,1799,USD,New - Unridden/With Tags,XS,27.5 / 650B,120 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3547370/
2024 Trailcraft Cycles Timber 275 - small,2024,NoManufacturer,NoModelFound,1699,USD,New - Unridden/With Tags,S,27.5 / 650B,120 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3809691/
2022 Mondraker Podium Size L,2022,Mondraker,NoModelFound,3500,USD,Excellent - Lightly Ridden,L,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3893820/
2021 Intense 951 XC XL all carbon 120mm/120mm Sweet!,2021,Intense,NoModelFound,1700,USD,"Good - Used, Mechanically Sound",XL,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3866731/
2022 Yeti SB115 T2,2022,Yeti,NoModelFound,3679,CAD,Excellent - Lightly Ridden,M,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3424965/
Specialized S-Works Epic Evo,,Specialized,Epic,6100,USD,Excellent - Lightly Ridden,M,29,130 mm,110 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3631594/
2022 Scalpel HT XL New lower price.,2022,NoManufacturer,NoModelFound,1500,USD,Excellent - Lightly Ridden,XL,29,120 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3695084/
2017 Haibike Sduro Nduro Bosch ebike,2017,Haibike,Nduro Electric,3200,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3785542/
2024 Factor Lando Custom build *reduced price*,2024,NoManufacturer,NoModelFound,7200,USD,New - Unridden/With Tags,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3910194/
Norco HT X01,,Norco,NoModelFound,957,CAD,Excellent - Lightly Ridden,18,27.5 / 650B,100 mm,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3917985/
2023 TopFuel 9.8 (Gen 3) - brand new never ridden frame,2023,NoManufacturer,NoModelFound,3643,CAD,Excellent - Lightly Ridden,XL,29,130 mm,110 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3907624/
2024 Specialized S-Works World Cup,2024,Specialized,NoModelFound,8599,USD,Excellent - Lightly Ridden,M,29,110 mm,80 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3850603/
2020 SOMA Juice perfect for Ontario adventures *ON SALE*,2020,Ari,NoModelFound,1189,CAD,New - Unridden/With Tags,L,29,100 mm,0 mm (Hardtail),Chromoly,model,https://www.pinkbike.com/buysell/3165061/
"2021 LITESPEED Kitsuma 27.5"" lightest MTB in the shop",2021,Litespeed,NoModelFound,3238,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,100 mm,0 mm (Hardtail),Titanium,model,https://www.pinkbike.com/buysell/3467074/
2018 KHS Prescott (Large) carbon dually of greatness,2018,KHS,NoModelFound,1766,CAD,"Good - Used, Mechanically Sound",L,29,100 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3645240/
Coconio Cycles Single Speed,,NoManufacturer,NoModelFound,1800,USD,"Good - Used, Mechanically Sound",L,29,0 mm (Rigid),0 mm (Hardtail),Steel,year,https://www.pinkbike.com/buysell/3850450/
"2023 FACTOR LANDO XC - SRAM XX1, M - Crystal Green",2023,NoManufacturer,NoModelFound,6256,CAD,New - Unridden/With Tags,M,29,120 mm,190 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3748057/
"2023 CARVER GNARVESTER 29""x 2.8"" XC TI BIKE 24.5 LBS!!!",2023,NoManufacturer,NoModelFound,4000,USD,Excellent - Lightly Ridden,M,29,100 mm,0 mm (Hardtail),Titanium,manufacturer,https://www.pinkbike.com/buysell/3908506/
"2023 Neuhaus Metalworks Hummingbird 29er with AXS, M+",2023,NoManufacturer,NoModelFound,4000,USD,Excellent - Lightly Ridden,M,29,120 mm,0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3666898/
2022 Santacruz Blur CC XO AXS RSV - Large,2022,NoManufacturer,NoModelFound,4416,CAD,Excellent - Lightly Ridden,L,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3775637/
2016 Trek Stache 5,2016,Trek,NoModelFound,1454,CAD,Excellent - Lightly Ridden,17.5,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3452990/
2015 KHS Team 29 carbon fiber full suspension,2015,KHS,NoModelFound,1550,USD,Excellent - Lightly Ridden,M,29,100 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3840107/
2019 Haibike Nduro 180/180 XL,2019,Haibike,Nduro Electric,2799,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,180 mm,180 mm,Aluminium,model,https://www.pinkbike.com/buysell/3508518/
2017 Diamondback Sync’r Pro,2017,Diamondback,NoModelFound,900,USD,Excellent - Lightly Ridden,M,27.5 / 650B,130 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3432141/
"2011 BREEZER Thunder Comp, Small Frame, Hardtail, Fox shock",2011,NoManufacturer,NoModelFound,495,USD,Excellent - Lightly Ridden,S,26,100 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3908928/
2023 Orbea Alma M51 medium,2023,Orbea,NoModelFound,1650,USD,Excellent - Lightly Ridden,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3913412/
