Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2025 IBIS Ripley V5 SLX Medium,2025,Ibis,Ripley,3990,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3911954/
2024 LIKE NEW !!! Norco Optic Mullet,2024,Norco,Optic,2907,CAD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3918822/
2023 Specialized S-works Evo stumpjumper S3 *PRICE DROP*,2023,Specialized,Stumpjumper,5000,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3919224/
2022 Revel Rascal - Small,2022,Revel,Rascal,2750,USD,"Good - Used, Mechanically Sound",S,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3924047/
2024 Yeti SB140 C2 LR (L),2024,Yeti,SB140,4050,USD,Excellent - Lightly Ridden,L,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3912821/
2024 Orbea Occam LT H20 w/ Fox Factory Suspension (M),2024,Orbea,Occam,3200,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3918904/
2024 Yeti SB140 LR C2 + Fox Factory Upgrade,2024,Yeti,SB140,4650,USD,Excellent - Lightly Ridden,M,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3920810/
2024 Yeti SB140 LR C2 + Fox Factory Suspension (M),2024,Yeti,SB140,4650,USD,Excellent - Lightly Ridden,M,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3912767/
2024 Pivot Firebird (L)_Cosmic Brown Metallic,2024,Pivot,Firebird,8000,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922055/
2022 Santa Cruz Hightower CC / Large / Blue,2022,Santa Cruz,Hightower,3700,USD,"Good - Used, Mechanically Sound",L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3921552/
2023 Trek Roscoe 9 XL,2023,Trek,Roscoe,2000,USD,Excellent - Lightly Ridden,XL,29,150 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3906485/
2024 Specialized Stumpjumper LTD S3,2024,Specialized,Stumpjumper,2800,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3920434/
2024 Cannondale Habit Carbon LT 1 LG,2024,Cannondale,Habit,3299,USD,New - Unridden/With Tags,L,29,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3886520/
2022 EVIL Offering - Medium (FRAME ONLY),2022,Evil,Offering,1700,USD,Excellent - Lightly Ridden,M,29,140 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3924509/
2024 Niner jet 9 rdo custom build,2024,Niner,JET 9 RDO,3100,USD,New - Unridden/With Tags,M,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3898813/
2024 Large niner jet 9 rdo custom,2024,Niner,JET 9 RDO,3300,USD,New - Unridden/With Tags,L,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3898815/
2023 Norco Torrent A2 HT,2023,Norco,Torrent,1519,USD,New - Unridden/With Tags,M,29,150 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3903220/
2024 Santa Cruz Tallboy,2024,Santa Cruz,Tallboy,4099,USD,New - Unridden/With Tags,L,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843045/
2025 Santa Cruz Bronson,2025,Santa Cruz,Bronson,3999,USD,New - Unridden/With Tags,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843047/
