Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2022 Specialized Rockhopper Expert awesome new custom build,2022,Specialized,Rockhopper,1699,USD,Excellent - Lightly Ridden,L,29,120 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3890404/
2023 Scott Spark RC Team,2023,Scott,Spark,4200,USD,Excellent - Lightly Ridden,S,700C,120 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3884110/
2019 Scott Contessa Spark RC 900,2019,Scott,Spark,1472,CAD,Excellent - Lightly Ridden,S,27.5 / 650B,100 mm,100 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3919574/
2024 Santa Cruz Blur 4 Carbon CC XO AXS TR RSV Kit Green,2024,Santa Cruz,Blur,6749,USD,New - Unridden/With Tags,M,29,120 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3902298/
"2024 Surly Karate Monkey Rigid,Eggplant: SM (10% OFF w/MIM)",2024,Surly,Karate Monkey,1849,USD,New - Unridden/With Tags,S,29,0 mm (Rigid),0 mm (Hardtail),Steel,,https://www.pinkbike.com/buysell/3482068/
"2024 Surly Karate Monkey SUS, Peach: Medium (10% OFF w/MIM)",2024,Surly,Karate Monkey,2599,USD,New - Unridden/With Tags,M,29,140 mm,0 mm (Hardtail),Steel,,https://www.pinkbike.com/buysell/3482097/
2024 Yeti SB120 C2 Large,2024,Yeti,SB120,3750,USD,Excellent - Lightly Ridden,L,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3914308/
2019 Cannondale Scalpel Si Carbon 29,2019,Cannondale,Scalpel,3842,USD,Excellent - Lightly Ridden,M,29,100 mm,100 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3140313/
2016 Trek Top Fuel 9.9 SL Medium,2016,Trek,Top Fuel,1600,USD,"Good - Used, Mechanically Sound",17.5,29,110 mm,100 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3915918/
2021 Trek Supercaliber 9.9 AXS (M/L),2021,Trek,Supercaliber,4200,USD,"Good - Used, Mechanically Sound",M,29,120 mm,80 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3888126/
2022 YT IZZO Uncaged 7  ( Size L ),2022,YT,Izzo,3950,USD,Excellent - Lightly Ridden,L,29,120 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3863338/
2022 Specialized S-Works Epic EVO RS - QUARQ,2022,Specialized,Epic,4900,USD,Excellent - Lightly Ridden,XL,700C,120 mm,110 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3864578/
2024 Orbea Oiz M10 Carbon Small XC Race Machine!,2024,Orbea,Oiz,4800,USD,New - Unridden/With Tags,S,29,120 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3760027/
"2024 Orbea Oiz M10 Carbon Large/Medium, XC Race Machine!",2024,Orbea,Oiz,4800,USD,New - Unridden/With Tags,L,29,120 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3751342/
2021 Medium Trek Top Fuel AXS,2021,Trek,Top Fuel,5500,USD,Excellent - Lightly Ridden,M,29,120 mm,110 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3757517/
