Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
Title,,NoManufacturer,NoModelFound,,,Price,Currency,Condition,Frame Size,Wheel Size,Front Travel,price
2022 Santa Cruz Hightower AL,2022,Santa Cruz,Hightower,2022,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2021 Trek Fuel EX 9.8 XT Gen 5,2021,Trek,Fuel EX,2021,,1885,USD,Excellent - Lightly Ridden,M,"29""",140 mm,currency
"2022 Pivot Firebird Pro X01, Small, Reynolds Carbon wheels",2022,Pivot,NoModelFound,2022,,2900,USD,Excellent - Lightly Ridden,S,"29""",170 mm,model
2021 Santa Cruz Nomad,2021,Santa Cruz,Nomad,2021,,1999,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Yeti SB140 Large,2021,Yeti,SB140,2021,,2900,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2021 Canyon Torque CF 7,2021,Canyon,Torque,2021,,2100,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",180 mm,currency
2024 Trek Slash Gen 6,2024,Trek,Slash,2024,,6000,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 Specialized S-Works Enduro,2022,Specialized,Enduro,2022,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2014 Kona process 111,2014,Kona,NoModelFound,2014,,750,USD,Excellent - Lightly Ridden,M,"29""",120 mm,model
2019 Canyon Spectral CF 7.0,2019,Canyon,Spectral,2019,,1690,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 Transition Patrol,2021,Transition,Patrol,2021,,3500,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2021 Intense Tracer 275 - Custom Build,2021,Intense,Tracer,2021,,3000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 Trek Slash 8,2022,Trek,Slash,2022,,2500,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Knolly Fugitive LT full custom build UPDATED,2020,Knolly,Fugitive,2020,,2999,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Commencal Clash,2022,Commencal,Clash,2022,,2300,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",180 mm,currency
2019 Evil offering - size large,2019,Evil,Offering,2019,,4900,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2023 Transition Spire Large - GX TRP Build,2023,Transition,Spire,2023,,4200,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Kona Process X CR/DL AXS XL,2022,Kona,Process X,2022,,2900,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2022 Norco Sight C2, L",2022,Norco,Sight,2022,,4000,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Rocky Mountain Altitude C90 Rally Edition,2022,Rocky Mountain,Altitude,2022,,7500,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Santa Cruz Bronson Medium,2022,Santa Cruz,Bronson,2022,,4400,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Rocky Mountain Altitude - C99,2021,Rocky Mountain,Altitude,2021,,4250,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2021 Meduim Specialized stumpy evo pro frame+parts.,2021,Specialized,NoModelFound,2021,,1500,USD,"Good - Used, Mechanically Sound",M,"29""",140 mm,model
2022 Kona Process X Mullet— all new 2024 parts,2022,Kona,Process X,2022,,3500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2022 WR1 UDH MX Arrival - Medium,2022,WR1,Arrival,2022,,7500,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2022 Yeti SB150 T2 Large All NEW Parts,2022,Yeti,SB150,2022,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2017 Guerilla Gravity Megatrail [PRICE DROP],2017,NoManufacturer,Rail,2017,,1600,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,manufacturer
2019 Transition Patrol - Heavily Upgraded Components,2019,Transition,Patrol,2019,,2499,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2016 Small frame SB6C XT/XTR with upgrades,2016,NoManufacturer,NoModelFound,2016,,1750,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,manufacturer
2023 Specialized Stumpjumper Evo Boutique Build,2023,Specialized,Stumpjumper EVO,2023,,5300,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2013 Specialized S-Works Enduro medium,2013,Specialized,Enduro,2013,,1400,USD,"Good - Used, Mechanically Sound",M,"26""",160 mm,currency
Propain Spindrift 4 AL 27.5”,,Propain,Spindrift,,,2199,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",180 mm,price
2020 XL Megatower C 170/160 coil custom,2020,NoManufacturer,Mega,2020,,4500,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,manufacturer
2020 Kona Process 153 CR 29 - Medium,2020,Kona,Process 153,2020,,2100,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2023 Transition Sentinel XL,2023,Transition,Sentinel,2023,,3750,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2022 Specialized Enduro S-Works S4,2022,Specialized,Enduro,2022,,3900,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2019 Norco Sight C Medium,2019,Norco,Sight,2019,,2500,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2020 YT Capra Pro XL - Black Magic - Like-New,2020,YT,Capra,2020,,2700,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 Specialized SWorks Stumpjumper Evo S2,2022,Specialized,Stumpjumper EVO,2022,,5000,USD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2023 Transition Sentinel // AXS // Carbon Wheels,2023,Transition,Sentinel,2023,,2999,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Specialized Stumpjumper EVO comp CARBON (S2 size),2020,Specialized,Stumpjumper EVO,2020,,3400,CAD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2019 Yeti SB6 Turq XT/XO build,2019,Yeti,NoModelFound,2019,,4300,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,model
2020 Ransom 920 XL,2020,NoManufacturer,Ransom,2020,,3300,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,manufacturer
2021 Specialized S-Works Enduro MULLET S3,2021,Specialized,Enduro,2021,,4950,USD,"Good - Used, Mechanically Sound",M,"29""",180 mm,currency
2024 Yeti SB160 T3 XO T-Type,2024,Yeti,NoModelFound,2024,,4999,USD,Excellent - Lightly Ridden,M,"29""",170 mm,model
2024 Giant Reign Advanced Custom Build,2024,Giant,Reign,2024,,5875,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2024 Yeti SB165 T3 XO Transmission Size Large Brand New,2024,Yeti,SB165,2024,,8200,USD,New - Unridden/With Tags,L,"27.5"" / 650B",170 mm,currency
2020 Rocky mountain Slayer C90 medium,2020,Rocky Mountain,Slayer,2020,,4000,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 Pivot Switchblade XO1,2021,Pivot,Switchblade,2021,,3700,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 V2 Ibis Ripmo XL,2022,Ibis,Ripmo,2022,,3300,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Norco range size large,2022,Norco,Range,2022,,5600,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Ibis Ripmo 2,2020,Ibis,Ripmo,2020,,4000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 ROCKY MOUNTAIN ALTITUDE C50 *PRICE DROP*,2023,Rocky Mountain,Altitude,2023,,4500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Size large pivot firebird,2023,Pivot,NoModelFound,2023,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2024 Santa Cruz Nomad 6 CC XL *Top Build*,2024,Santa Cruz,Nomad,2024,,7100,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2022 Santa Cruz Bronson CC frame, Mx",2022,Santa Cruz,Bronson,2022,,1500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2021 Kona Process 153 Carbon Large,2021,Kona,Process 153,2021,,2100,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
"BRAND NEW Ibis HD5-AXS-FOX 38, X2, S35 Carbon/i9 Hydra",,Ibis,NoModelFound,,,4600,USD,New - Unridden/With Tags,M,"27.5"" / 650B",170 mm,price
2023 Trek Fuel EX Gen 6 XX1 AXS,2023,Trek,Fuel EX,2023,,4000,USD,Excellent - Lightly Ridden,"18.5""","29""",160 mm,currency
2021 Transition Scout XS carbon 27.5,2021,Transition,Scout,2021,,4500,USD,Excellent - Lightly Ridden,XS,"27.5"" / 650B",150 mm,currency
"2014 Trek Remedy 9 (Small) 29""",2014,Trek,Remedy,2014,,1500,CAD,Excellent - Lightly Ridden,S,"29""",140 mm,currency
2020 Norco Sight A1 (Medium),2020,Norco,Sight,2020,,2500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2023 Santa Cruz Megatower CC XO1 Medium-upgrades,2023,Santa Cruz,Megatower,2023,,4500,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 Intense Carbine Foundation - Black Silver Red,2020,Intense,Carbine,2020,,3000,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2024 Propain Spindrift CF 29 MAKE AN OFFER!!,2024,Propain,Spindrift,2024,,5700,USD,Excellent - Lightly Ridden,L,"29""",190 mm,currency
2022 Scott Ransom 920,2022,Scott,Ransom,2022,,3300,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Forbidden Dreadnought Full AXS Transmission,2023,Forbidden,Dreadnought,2023,,5450,CAD,Excellent - Lightly Ridden,S,"29""",170 mm,currency
Switchblade Pro XT/XTR Small,,NoManufacturer,Switchblade,,,4700,USD,Excellent - Lightly Ridden,S,"29""",160 mm,price
2020 New Custom Intense Tracer 27.5,2020,Intense,Tracer,2020,,5000,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2019 Merida One-Sixty 6000 Size Large,2019,NoManufacturer,NoModelFound,2019,,2800,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,manufacturer
2024 INTENSE Tracer 279 Pro,2024,Intense,Tracer,2024,,6900,CAD,New - Unridden/With Tags,M,,170 mm,currency
2022 Evil Wreckoning Large,2022,Evil,Wreckoning,2022,,3300,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 *Mechanic Owned* Custom Norco Sight GX AXS,2023,Norco,Sight,2023,,5750,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2022 YT Capra Uncaged 6 (Flight Attendant) BRAND NEW,2022,YT,Capra,2022,,7000,CAD,New - Unridden/With Tags,L,"29""",170 mm,currency
2022 Giant Reign Advanced Pro 29 1(BRAND NEW),2022,Giant,Reign,2022,,5000,CAD,New - Unridden/With Tags,L,"29""",170 mm,currency
2022 Kona Honzo ESD - XL,2022,Kona,Honzo,2022,,1700,USD,Excellent - Lightly Ridden,XL,"29""",150 mm,currency
2023 We Are One Arrival 170,2023,We Are One,Arrival,2023,,5500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Large Fox Factory/i9 Hydras Knolly Warden LT,2022,Knolly,Warden,2022,,4000,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2020 Transition Patrol: Upgraded w/ new front triangle,2020,Transition,Patrol,2020,,2500,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2022 Forbidden Dreadnaught - LARGE - Custom NERDS build,2022,Forbidden,NoModelFound,2022,,5400,USD,Excellent - Lightly Ridden,L,"29""",160 mm,model
2021 Yeti SB 150,2021,Yeti,NoModelFound,2021,,4700,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,model
2023 Norco Sight custom build C2,2023,Norco,Sight,2023,,3200,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2020 Transition Patrol Carbon X01, Large",2020,Transition,Patrol,2020,,2800,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2023 Transition Sentinel - Large,2023,Transition,Sentinel,2023,,3500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 Transition Patrol,2023,Transition,Patrol,2023,,2950,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 Specialized enduro custom build,2023,Specialized,Enduro,2023,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2024 Ibis Ripmo V2S,2024,Ibis,Ripmo,2024,,5000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
