Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2024 Jones 3D Ti space frame/ size medium,2024,NoManufacturer,NoModelFound,10200,USD,Excellent - Lightly Ridden,M,27.5 / 650B,0 mm (Rigid),0 mm (Hardtail),Titanium,manufacturer,https://www.pinkbike.com/buysell/3892391/
2023 Weareone Arrival,2023,NoManufacturer,NoModelFound,5800,USD,"Good - Used, Mechanically Sound",M,29,160 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3897825/
2017 XL Intense Spider Carbon upgraded,2017,Intense,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3893840/
2016 Cannodanle Lefty habbit SI,2016,NoManufacturer,NoModelFound,1669,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,130 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3786114/
2022 Specialized Stumpjumper Pro S5 Stump Jumper,2022,Specialized,NoModelFound,3900,USD,Excellent - Lightly Ridden,XL,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3891428/
2021 Specialized Stumpjumper Comp Alloy,2021,Specialized,NoModelFound,2187,CAD,Excellent - Lightly Ridden,XL,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3896878/
2021 Fuel EX 9.9 X01 Gen 5,2021,NoManufacturer,NoModelFound,2916,CAD,"Good - Used, Mechanically Sound",19.5,29,150 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3891242/
2020 Trailcraft Maxwell,2020,NoManufacturer,NoModelFound,2299,USD,Excellent - Lightly Ridden,S,27.5 / 650B,120 mm,120 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3887675/
2021 Specialized Stump Jumper Pro S5,2021,Specialized,NoModelFound,3500,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3896453/
"2021 Nearly New Evil Following, Small. + Stem Tool!",2021,Evil,Following,3250,USD,Excellent - Lightly Ridden,S,29,130 mm,,Carbon Fiber,rear travel,https://www.pinkbike.com/buysell/3895807/
